,VehicleID,Manufacturing_Lot,PSI
101,V5908,Lot3,1503
102,V9510,Lot3,1501
103,V3092,Lot3,1496
104,V49408,Lot3,1503
105,V35127,Lot3,1496
106,V27926,Lot3,1503
107,V830,Lot3,1498
108,V25929,Lot3,1499
109,V45061,Lot3,1477
110,V33860,Lot3,1499
111,V27039,Lot3,1501
112,V16942,Lot3,1495
113,V1405,Lot3,1480
114,V7785,Lot3,1502
115,V39902,Lot3,1503
116,V47785,Lot3,1491
117,V42574,Lot3,1501
118,V35633,Lot3,1542
119,V38088,Lot3,1474
120,V39133,Lot3,1498
121,V8204,Lot3,1498
122,V37577,Lot3,1515
123,V30892,Lot3,1499
124,V37654,Lot3,1503
125,V12051,Lot3,1501
126,V5504,Lot3,1495
127,V15755,Lot3,1498
128,V13224,Lot3,1499
129,V46194,Lot3,1452
130,V47096,Lot3,1458
131,V9537,Lot3,1501
132,V7763,Lot3,1500
133,V41771,Lot3,1508
134,V28453,Lot3,1483
135,V21383,Lot3,1492
136,V26143,Lot3,1489
137,V38622,Lot3,1497
138,V19109,Lot3,1485
139,V32572,Lot3,1507
140,V793,Lot3,1500
141,V26325,Lot3,1499
142,V42093,Lot3,1486
143,V46047,Lot3,1498
144,V17544,Lot3,1496
145,V9896,Lot3,1496
146,V20689,Lot3,1491
147,V18191,Lot3,1494
148,V39791,Lot3,1503
149,V10053,Lot3,1499
150,V45267,Lot3,1503
