,VehicleID,Manufacturing_Lot,PSI
51,V2937,Lot2,1499
52,V33662,Lot2,1501
53,V35897,Lot2,1499
54,V40383,Lot2,1500
55,V31118,Lot2,1505
56,V49231,Lot2,1499
57,V16893,Lot2,1502
58,V19636,Lot2,1500
59,V24531,Lot2,1499
60,V29702,Lot2,1497
61,V27432,Lot2,1499
62,V41076,Lot2,1494
63,V31174,Lot2,1496
64,V21322,Lot2,1498
65,V27412,Lot2,1498
66,V13774,Lot2,1502
67,V45883,Lot2,1504
68,V29723,Lot2,1498
69,V8872,Lot2,1500
70,V3320,Lot2,1498
71,V18858,Lot2,1501
72,V9531,Lot2,1500
73,V44685,Lot2,1501
74,V12054,Lot2,1502
75,V16182,Lot2,1501
76,V14013,Lot2,1499
77,V9627,Lot2,1505
78,V41360,Lot2,1505
79,V924,Lot2,1500
80,V47525,Lot2,1504
81,V31495,Lot2,1500
82,V38509,Lot2,1503
83,V17834,Lot2,1495
84,V20413,Lot2,1503
85,V17502,Lot2,1504
86,V40607,Lot2,1503
87,V44576,Lot2,1500
88,V35190,Lot2,1500
89,V46374,Lot2,1500
90,V47062,Lot2,1499
91,V11605,Lot2,1496
92,V14941,Lot2,1502
93,V2942,Lot2,1501
94,V32735,Lot2,1506
95,V45208,Lot2,1501
96,V40317,Lot2,1495
97,V36280,Lot2,1497
98,V31949,Lot2,1500
99,V49281,Lot2,1499
100,V34138,Lot2,1500
